Data,Título,Link
23/04/2020 , Agora somos todos índios,https://terrasindigenas.org.br/pt-br/noticia/205827
17/04/2020 , Amazonas registra nova morte de indígena por coronavírus; número de casos triplica em cinco dias,https://terrasindigenas.org.br/pt-br/noticia/205783
15/04/2020 , O garimpo e o desmatamento não entram em quarentena na Amazônia,https://terrasindigenas.org.br/pt-br/noticia/205766
10/04/2020 ," Se coronavírus entrar nas aldeias indígenas ocorrerá genocídio em massa, diz líder indígena Dinamam Tuxá",https://terrasindigenas.org.br/pt-br/noticia/205729
09/04/2020 , Em meio à covid,https://terrasindigenas.org.br/pt-br/noticia/205680
09/04/2020 , Adolescente é primeiro ianomâmi a contrair coronavírus,https://terrasindigenas.org.br/pt-br/noticia/205681
03/03/2020 , Líder indígena Davi Kopenawa denuncia governo Bolsonaro na ONU,https://terrasindigenas.org.br/pt-br/noticia/205187
20/02/2020 ," Quem é mesmo o ""selvagem""?",https://terrasindigenas.org.br/pt-br/noticia/205077
23/01/2020 , Cobiça das mineradoras já ameaça índios isolados,https://terrasindigenas.org.br/pt-br/noticia/204538
21/01/2020 , Povos indígenas isolados estão ameaçados por quase 4 mil requerimentos minerários,https://terrasindigenas.org.br/pt-br/noticia/204436
20/01/2020 , Garimpeiros atiram contra homens do Exército,https://terrasindigenas.org.br/pt-br/noticia/204400
20/01/2020 ," Garimpeiro fica ferido em troca de tiros com o Exército na Terra Indígena Yanomami, em RR",https://terrasindigenas.org.br/pt-br/noticia/204408
13/01/2020 , Militar fica ferido após perseguir garimpeiros,https://terrasindigenas.org.br/pt-br/noticia/204270
13/01/2020 , Like a bomb going off: why Brazil's largest reserve is facing destruction,https://terrasindigenas.org.br/pt-br/noticia/205081
12/01/2020 , Militar do Exército se fere gravemente em perseguição a garimpeiros na Terra Yanomami,https://terrasindigenas.org.br/pt-br/noticia/204258
26/12/2019 , Leonardo DiCaprio critica garimpo em terras indígenas na Amazônia,https://terrasindigenas.org.br/pt-br/noticia/204187
21/12/2019 , Garimpeiros clandestinos ameaçam paraíso ianomâmi,https://terrasindigenas.org.br/pt-br/noticia/204175
